"id","title","contains_table","published_at","url","legislative_term","ministries","ministries_short","org"
1149,"Sanierung der Berufsfeuerwache Köpenick - Wann geht es endlich los?",False,"2014-07-11","http://pardok.parlament-berlin.de/starweb/adis/citat/VT/17/SchrAnfr/s17-14114.pdf",17,"Senatsverwaltung für Inneres und Sport","SenInnSport","SPD"
1150,"Jugendfeuerwehr - Feuerwehr der Zukunft",False,"2014-07-11","http://pardok.parlament-berlin.de/starweb/adis/citat/VT/17/SchrAnfr/s17-14115.pdf",17,"Senatsverwaltung für Inneres und Sport","SenInnSport","SPD"
1152,"Modellprojekt ""Flexible Kinderbetreuung"" ab 2015?",False,"2014-07-02","http://pardok.parlament-berlin.de/starweb/adis/citat/VT/17/SchrAnfr/s17-14075.pdf",17,"Senatsverwaltung für Bildung, Jugend und Wissenschaft","SenBildJugWiss","Piraten"
1153,"Wie sieht es aus mit den Aufzügen beim U-Bahnhof Siemensstadt und Haselhorst?",False,"2014-07-08","http://pardok.parlament-berlin.de/starweb/adis/citat/VT/17/SchrAnfr/s17-14085.pdf",17,"Senatsverwaltung für Stadtentwicklung und Umwelt","SenStadtUm","CDU"
1154,"Erbbaurechte - wie stark wirkt die Indizierung in Berlin?",False,"2014-07-14","http://pardok.parlament-berlin.de/starweb/adis/citat/VT/17/SchrAnfr/s17-14084.pdf",17,"Senatsverwaltung für Finanzen","SenFin","CDU"
1155,"Staatsvertrag für die vereinfachte Abwasserentsorgung in Berlin",False,"2014-07-10","http://pardok.parlament-berlin.de/starweb/adis/citat/VT/17/SchrAnfr/s17-14086.pdf",17,"Senatsverwaltung für Stadtentwicklung und Umwelt","SenStadtUm","CDU"
1156,"Akzeptanz der Bürgerservicenummer und Onlineanzeigen der Polizei Berlin",False,"2014-07-09","http://pardok.parlament-berlin.de/starweb/adis/citat/VT/17/SchrAnfr/s17-14087.pdf",17,"Senatsverwaltung für Inneres und Sport","SenInnSport","CDU"
1157,"Studentisches Wohnen in Berlin (I) - Sind die 5000 neuen Wohnheimplätze nur eine leere Versprechung?",False,"2014-07-03","http://pardok.parlament-berlin.de/starweb/adis/citat/VT/17/SchrAnfr/s17-14059.pdf",17,"Senatsverwaltung für Bildung, Jugend und Wissenschaft","SenBildJugWiss","Piraten"
1158,"""Willkommensklassen"" an Berliner Schulen (IV)  - Verfahren, Teilnehmer*innenzahlen und Verweildauer",False,"2014-07-07","http://pardok.parlament-berlin.de/starweb/adis/citat/VT/17/SchrAnfr/s17-14065.pdf",17,"Senatsverwaltung für Bildung, Jugend und Wissenschaft","SenBildJugWiss","Piraten"
1159,"""Willkommensklassen"" an Berliner Schulen (III) - Ferienschulen für Schüler*innen aus Lerngruppen für Neuzugänge ohne Deutschkenntnisse",False,"2014-07-07","http://pardok.parlament-berlin.de/starweb/adis/citat/VT/17/SchrAnfr/s17-14064.pdf",17,"Senatsverwaltung für Bildung, Jugend und Wissenschaft","SenBildJugWiss","Piraten"
1160,"Studentisches Wohnen in Berlin (V): Welche Rolle spielen die landeseigenen Wohnungsbaugesellschaften?",False,"2014-07-03","http://pardok.parlament-berlin.de/starweb/adis/citat/VT/17/SchrAnfr/s17-14063.pdf",17,"Senatsverwaltung für Bildung, Jugend und Wissenschaft","SenBildJugWiss","Piraten"
1161,"Studentisches Wohnen in Berlin (II) - Warum darf das Studentenwerk keine Kredite aufnehmen?",False,"2014-07-03","http://pardok.parlament-berlin.de/starweb/adis/citat/VT/17/SchrAnfr/s17-14060.pdf",17,"Senatsverwaltung für Bildung, Jugend und Wissenschaft","SenBildJugWiss","Piraten"
1162,"Studentisches Wohnen in Berlin (III) - Fünf Liegenschaften, aber kein Kosten- und Zeitplan?",False,"2014-07-03","http://pardok.parlament-berlin.de/starweb/adis/citat/VT/17/SchrAnfr/s17-14061.pdf",17,"Senatsverwaltung für Bildung, Jugend und Wissenschaft","SenBildJugWiss","Piraten"
1163,"Studentisches Wohnen in Berlin (IV): Wer kooperiert mit wem?",False,"2014-07-03","http://pardok.parlament-berlin.de/starweb/adis/citat/VT/17/SchrAnfr/s17-14062.pdf",17,"Senatsverwaltung für Bildung, Jugend und Wissenschaft","SenBildJugWiss","Piraten"
1170,"Wie weiter mit der Kolonie Oeynhausen?",False,"2014-07-18","http://pardok.parlament-berlin.de/starweb/adis/citat/VT/17/SchrAnfr/s17-14137.pdf",17,"Senatsverwaltung für Finanzen","SenFin","SPD"
1177,"Wasserversorgungskonzept bis zum Jahr 2040",False,"2014-06-30","http://pardok.parlament-berlin.de/starweb/adis/citat/VT/17/SchrAnfr/s17-14035.pdf",17,"Senatsverwaltung für Stadtentwicklung und Umwelt","SenStadtUm","CDU"
1179,"Begegnungszonen - Aufenthaltsqualität für Alle?",False,"2014-06-27","http://pardok.parlament-berlin.de/starweb/adis/citat/VT/17/SchrAnfr/s17-14033.pdf",17,"Senatsverwaltung für Stadtentwicklung und Umwelt","SenStadtUm","CDU"
1181,"Stand der neuen Ämterstruktur im Seminar- und Fachseminarleiterbereich",False,"2014-06-30","http://pardok.parlament-berlin.de/starweb/adis/citat/VT/17/SchrAnfr/s17-14034.pdf",17,"Senatsverwaltung für Bildung, Jugend und Wissenschaft","SenBildJugWiss","CDU"
1182,"Tiefbauarbeiten der Berliner Wasserbetriebe in der Friedenauer Senke",True,"2014-06-30","http://pardok.parlament-berlin.de/starweb/adis/citat/VT/17/SchrAnfr/s17-14037.pdf",17,"Senatsverwaltung für Wirtschaft, Technolgie und Forschung","SenWiTechForsch","CDU"
1183,"Technik verstärkt auch für ältere Menschen",False,"2014-07-01","http://pardok.parlament-berlin.de/starweb/adis/citat/VT/17/SchrAnfr/s17-14038.pdf",17,"Senatsverwaltung für Gesundheit und Soziales","SenGesSoz","CDU"
1184,"Der Finanzsenator, die Steuerakten und das Steuergeheimnis",False,"2014-06-27","http://pardok.parlament-berlin.de/starweb/adis/citat/VT/17/SchrAnfr/s17-14041.pdf",17,"Senatsverwaltung für Finanzen","SenFin","Die Linke"
1187,"Auswahlverfahren für die rechtliche Begleitung der Konzessionsverfahren Gas und Strom",False,"2014-07-04","http://pardok.parlament-berlin.de/starweb/adis/citat/VT/17/SchrAnfr/s17-14040.pdf",17,"Senatsverwaltung für Finanzen","SenFin","Die Linke"
1188,"Bauvorhaben Hildburghauser Straße – Rolle der Verkehrslenkung Berlin (VLB)",False,"2014-07-07","http://pardok.parlament-berlin.de/starweb/adis/citat/VT/17/SchrAnfr/s17-14039.pdf",17,"Senatsverwaltung für Stadtentwicklung und Umwelt","SenStadtUm","CDU"
1189,"Schülerzahlprognosen in Charlottenburg-Wilmersdorf",False,"2014-07-07","http://pardok.parlament-berlin.de/starweb/adis/citat/VT/17/SchrAnfr/s17-14036.pdf",17,"Senatsverwaltung für Bildung, Jugend und Wissenschaft","SenBildJugWiss","CDU"
1193,"&gt;&gt;Wie bitte was?!&lt;&lt; - Sprachkurse für Asylsuchende und Geduldete in Berlin",False,"2014-07-08","http://pardok.parlament-berlin.de/starweb/adis/citat/VT/17/SchrAnfr/s17-14048.pdf",17,"Senatsverwaltung für Arbeit, Integration und Frauen","SenArbIntFrau","Piraten"
1195,"Hochschüler nach § 11 Hochschulgesetz nur Studenten 2. Klasse?",False,"2014-06-25","http://pardok.parlament-berlin.de/starweb/adis/citat/VT/17/SchrAnfr/s17-14028.pdf",17,"Senatsverwaltung für Bildung, Jugend und Wissenschaft","SenBildJugWiss","Piraten"
1196,"Munitionsreste auf dem Tempelhofer Feld",False,"2014-07-04","http://pardok.parlament-berlin.de/starweb/adis/citat/VT/17/SchrAnfr/s17-14027.pdf",17,"Senatsverwaltung für Stadtentwicklung und Umwelt","SenStadtUm","Piraten"
1197,"Polizeieinsatz zur Bombenentschärfung in Steglitz am 10.06.2014",False,"2014-07-02","http://pardok.parlament-berlin.de/starweb/adis/citat/VT/17/SchrAnfr/s17-14029.pdf",17,"Senatsverwaltung für Inneres und Sport","SenInnSport","Piraten"
1198,"Wiederaufbau und Verlängerung der 1961, 1980 und 1983 stillgelegten S-Bahn-Strecken",False,"2014-07-04","http://pardok.parlament-berlin.de/starweb/adis/citat/VT/17/SchrAnfr/s17-14031.pdf",17,"Senatsverwaltung für Stadtentwicklung und Umwelt","SenStadtUm","Piraten"
1199,"Verwendung zusätzlicher Mittel gegen homophobe Gewalt",False,"2014-07-04","http://pardok.parlament-berlin.de/starweb/adis/citat/VT/17/SchrAnfr/s17-14024.pdf",17,"Senatsverwaltung für Arbeit, Integration und Frauen","SenArbIntFrau","SPD"
1199,"Verwendung zusätzlicher Mittel gegen homophobe Gewalt",False,"2014-07-04","http://pardok.parlament-berlin.de/starweb/adis/citat/VT/17/SchrAnfr/s17-14024.pdf",17,"Senatsverwaltung für Arbeit, Integration und Frauen","SenArbIntFrau","BVB/FW"
1200,"Entwidmung und Bebauung von Bahngelände",False,"2014-07-07","http://pardok.parlament-berlin.de/starweb/adis/citat/VT/17/SchrAnfr/s17-14030.pdf",17,"Senatsverwaltung für Stadtentwicklung und Umwelt","SenStadtUm","Piraten"
1201,"Barrierefreiheit in Berliner Straßenbahnen",False,"2014-07-07","http://pardok.parlament-berlin.de/starweb/adis/citat/VT/17/SchrAnfr/s17-14077.pdf",17,"Senatsverwaltung für Stadtentwicklung und Umwelt","SenStadtUm","Piraten"
1202,"Ganztagsschulen für alle - Wie sieht's im neuen Schuljahr 2014/2015 aus?",False,"2014-07-10","http://pardok.parlament-berlin.de/starweb/adis/citat/VT/17/SchrAnfr/s17-14078.pdf",17,"Senatsverwaltung für Bildung, Jugend und Wissenschaft","SenBildJugWiss","SPD"
1203,"Baustelle U8: Eingeschränkter Zugang zum Öffentlichen Nahverkehr durch unzureichende Ersatzverbindungen",False,"2014-07-07","http://pardok.parlament-berlin.de/starweb/adis/citat/VT/17/SchrAnfr/s17-14076.pdf",17,"Senatsverwaltung für Stadtentwicklung und Umwelt","SenStadtUm","Piraten"
1205,"Flüchtlinge von der Oranienplatz-Liste von Abschiebung bedroht - was sind Vereinbarungen mit dem Senat wert? Und was tut eigentlich der Innensenator?",False,"2014-06-20","http://pardok.parlament-berlin.de/starweb/adis/citat/VT/17/SchrAnfr/s17-14009.pdf",17,"Senatsverwaltung für Inneres und Sport","SenInnSport","Die Linke"
1206,"Erfolgsgeschichte ""Trans* in Arbeit""",False,"2014-07-01","http://pardok.parlament-berlin.de/starweb/adis/citat/VT/17/SchrAnfr/s17-14012.pdf",17,"Senatsverwaltung für Arbeit, Integration und Frauen","SenArbIntFrau","Die Linke"
1208,"Hochhäuser am Alexanderplatz - Sachstand, Planänderung und Zeitperspektive",False,"2014-07-01","http://pardok.parlament-berlin.de/starweb/adis/citat/VT/17/SchrAnfr/s17-14010.pdf",17,"Senatsverwaltung für Stadtentwicklung und Umwelt","SenStadtUm","Die Linke"
1209,"Koevolution der Moderne in Berlin - Wie weiter mit Karl-Marx-Allee und Interbau 1957 nach dem vorerst gescheiterten Weltkulturerbe-Antrag?",False,"2014-07-02","http://pardok.parlament-berlin.de/starweb/adis/citat/VT/17/SchrAnfr/s17-14013.pdf",17,"Senatsverwaltung für Stadtentwicklung und Umwelt","SenStadtUm","Die Linke"
1210,"Aktueller Umsetzungsstand der ISV: Geschichtsdokumentation und Forschung",False,"2014-07-07","http://pardok.parlament-berlin.de/starweb/adis/citat/VT/17/SchrAnfr/s17-14011.pdf",17,"Senatsverwaltung für Arbeit, Integration und Frauen","SenArbIntFrau","Die Linke"
1211,"Vergünstigte Einzelfahrscheine für BerlinPass-Inhaber",False,"2014-07-07","http://pardok.parlament-berlin.de/starweb/adis/citat/VT/17/SchrAnfr/s17-14025.pdf",17,"Senatsverwaltung für Gesundheit und Soziales","SenGesSoz","Piraten"
1213,"Zu den Marzahner Brücken / Landsberger Allee",False,"2014-07-04","http://pardok.parlament-berlin.de/starweb/adis/citat/VT/17/SchrAnfr/s17-14014.pdf",17,"Senatsverwaltung für Stadtentwicklung und Umwelt","SenStadtUm","Die Linke"
1214,"Anerkennung der Berufsabschlüsse der IHK Berlin",False,"2014-07-07","http://pardok.parlament-berlin.de/starweb/adis/citat/VT/17/SchrAnfr/s17-14026.pdf",17,"Senatsverwaltung für Arbeit, Integration und Frauen","SenArbIntFrau","Piraten"
1215,"Evaluation von Wirtschaftsförderprogrammen und -konzepten im Land Berlin",False,"2014-07-02","http://pardok.parlament-berlin.de/starweb/adis/citat/VT/17/SchrAnfr/s17-14054.pdf",17,"Senatsverwaltung für Wirtschaft, Technolgie und Forschung","SenWiTechForsch","SPD"
1216,"Anmeldezahlen an ISS und Gymnasien für das Schuljahr 2014/2015",False,"2014-07-10","http://pardok.parlament-berlin.de/starweb/adis/citat/VT/17/SchrAnfr/s17-14079.pdf",17,"Senatsverwaltung für Bildung, Jugend und Wissenschaft","SenBildJugWiss","SPD"
1217,"Warum wird der Bachelor als vollwertiger Hochschulabschluss nicht angenommen?",False,"2014-06-20","http://pardok.parlament-berlin.de/starweb/adis/citat/VT/17/SchrAnfr/s17-13997.pdf",17,"Senatsverwaltung für Bildung, Jugend und Wissenschaft","SenBildJugWiss","CDU"
1218,"Neue Hundesteuermarken, Hundesteuerbefreiung für Rentner?",False,"2014-06-23","http://pardok.parlament-berlin.de/starweb/adis/citat/VT/17/SchrAnfr/s17-13992.pdf",17,"Senatsverwaltung für Finanzen","SenFin","CDU"
1219,"Akkreditierung von Studiengängen an Berliner Hochschulen",False,"2014-06-24","http://pardok.parlament-berlin.de/starweb/adis/citat/VT/17/SchrAnfr/s17-14016.pdf",17,"Senatsverwaltung für Bildung, Jugend und Wissenschaft","SenBildJugWiss","Piraten"
1222,"Ampelfrauen für Berlin?",False,"2014-06-26","http://pardok.parlament-berlin.de/starweb/adis/citat/VT/17/SchrAnfr/s17-13991.pdf",17,"Senatsverwaltung für Stadtentwicklung und Umwelt","SenStadtUm","CDU"
1223,"""MRSA in Berlin""",False,"2014-07-02","http://pardok.parlament-berlin.de/starweb/adis/citat/VT/17/SchrAnfr/s17-13994.pdf",17,"Senatsverwaltung für Gesundheit und Soziales","SenGesSoz","CDU"
1224,"Welche Landesunternehmen werben für die Pläne des Senats auf dem Tempelhofer Feld?",False,"2014-06-30","http://pardok.parlament-berlin.de/starweb/adis/citat/VT/17/SchrAnfr/s17-14001.pdf",17,"Senatsverwaltung für Stadtentwicklung und Umwelt","SenStadtUm","Piraten"
1226,"Studierende brauchen immer noch Wohnheimplätze und keine Luftschlösser!",False,"2014-07-02","http://pardok.parlament-berlin.de/starweb/adis/citat/VT/17/SchrAnfr/s17-14008.pdf",17,"Senatsverwaltung für Bildung, Jugend und Wissenschaft","SenBildJugWiss","Die Linke"
1227,"Nutzungseinschränkungen von Sportanlagen",False,"2014-07-02","http://pardok.parlament-berlin.de/starweb/adis/citat/VT/17/SchrAnfr/s17-14015.pdf",17,"Senatsverwaltung für Inneres und Sport","SenInnSport","Piraten"
1229,"Projekt Jugendberufsagentur",False,"2014-06-25","http://pardok.parlament-berlin.de/starweb/adis/citat/VT/17/SchrAnfr/s17-13995.pdf",17,"Senatsverwaltung für Bildung, Jugend und Wissenschaft","SenBildJugWiss","CDU"
1230,"Hybridbusse für Berlin?",False,"2014-07-02","http://pardok.parlament-berlin.de/starweb/adis/citat/VT/17/SchrAnfr/s17-13993.pdf",17,"Senatsverwaltung für Stadtentwicklung und Umwelt","SenStadtUm","CDU"
1231,"Mobile Unterrichtsräume in Berlin",False,"2014-07-07","http://pardok.parlament-berlin.de/starweb/adis/citat/VT/17/SchrAnfr/s17-13996.pdf",17,"Senatsverwaltung für Bildung, Jugend und Wissenschaft","SenBildJugWiss","CDU"
1232,"Berliner Landesprogramm für vertiefte Berufsorientierung (BVBO) - wie weiter im Schuljahr 2014/15?",False,"2014-07-02","http://pardok.parlament-berlin.de/starweb/adis/citat/VT/17/SchrAnfr/s17-14007.pdf",17,"Senatsverwaltung für Arbeit, Integration und Frauen","SenArbIntFrau","Die Linke"
1235,"Einheitliches Zertifikat im Berufsbildungsbereich für behinderte Menschen",True,"2014-07-08","http://pardok.parlament-berlin.de/starweb/adis/citat/VT/17/SchrAnfr/s17-14055.pdf",17,"Senatsverwaltung für Gesundheit und Soziales","SenGesSoz","SPD"
1238,"Lichtzeichenanlage in der Marzahner Promenade in Höhe der Hausnummer 30, Höhe Einkauszentrum/Ärztehaus",False,"2014-06-30","http://pardok.parlament-berlin.de/starweb/adis/citat/VT/17/SchrAnfr/s17-13985.pdf",17,"Senatsverwaltung für Stadtentwicklung und Umwelt","SenStadtUm","Die Linke"
1241,"Studium für beruflich Qualifizierte nach § 11 BerlHG (II)",True,"2014-06-20","http://pardok.parlament-berlin.de/starweb/adis/citat/VT/17/SchrAnfr/s17-13982.pdf",17,"Senatsverwaltung für Bildung, Jugend und Wissenschaft","SenBildJugWiss","Die Linke"
1242,"Zu Fuß unterwegs, funktionstüchtige Aufzüge generationsübergreifend wichtig",False,"2014-06-26","http://pardok.parlament-berlin.de/starweb/adis/citat/VT/17/SchrAnfr/s17-13974.pdf",17,"Senatsverwaltung für Stadtentwicklung und Umwelt","SenStadtUm","Die Linke"
1243,"Beiräte zur nachhaltigen Stadtentwicklung",False,"2014-07-01","http://pardok.parlament-berlin.de/starweb/adis/citat/VT/17/SchrAnfr/s17-13973.pdf",17,"Senatsverwaltung für Stadtentwicklung und Umwelt","SenStadtUm","Die Linke"
1244,"Kinderschutzfälle in Berlin",False,"2014-06-30","http://pardok.parlament-berlin.de/starweb/adis/citat/VT/17/SchrAnfr/s17-13975.pdf",17,"Senatsverwaltung für Bildung, Jugend und Wissenschaft","SenBildJugWiss","SPD"
1245,"Berufliche Gymnasien",False,"2014-06-30","http://pardok.parlament-berlin.de/starweb/adis/citat/VT/17/SchrAnfr/s17-13984.pdf",17,"Senatsverwaltung für Bildung, Jugend und Wissenschaft","SenBildJugWiss","Die Linke"
1246,"Planungen für die Berliner S-Bahn",False,"2014-07-02","http://pardok.parlament-berlin.de/starweb/adis/citat/VT/17/SchrAnfr/s17-13983.pdf",17,"Senatsverwaltung für Stadtentwicklung und Umwelt","SenStadtUm","Die Linke"
1247,"Vandalismus im ÖPNV",False,"2014-06-26","http://pardok.parlament-berlin.de/starweb/adis/citat/VT/17/SchrAnfr/s17-13981.pdf",17,"Senatsverwaltung für Stadtentwicklung und Umwelt","SenStadtUm","CDU"
1248," 5 Meter hohe Lärmschutzwände auf dem Gelände einer Jugendfreizeiteinrichtung in Zehlendorf: Ist es die Zukunft, unsere Kinder einzumauern oder nur eine Lex-Dahlem?",False,"2014-07-08","http://pardok.parlament-berlin.de/starweb/adis/citat/VT/17/SchrAnfr/s17-14022.pdf",17,"Senatsverwaltung für Stadtentwicklung und Umwelt","SenStadtUm","SPD"
1248," 5 Meter hohe Lärmschutzwände auf dem Gelände einer Jugendfreizeiteinrichtung in Zehlendorf: Ist es die Zukunft, unsere Kinder einzumauern oder nur eine Lex-Dahlem?",False,"2014-07-08","http://pardok.parlament-berlin.de/starweb/adis/citat/VT/17/SchrAnfr/s17-14022.pdf",17,"Senatsverwaltung für Stadtentwicklung und Umwelt","SenStadtUm","FDP/DVP"
1249,"Denkmalgeschütze Villa Calé in Zehlendorf verfällt und Berlin ist machtlos?",False,"2014-07-07","http://pardok.parlament-berlin.de/starweb/adis/citat/VT/17/SchrAnfr/s17-14021.pdf",17,"Regierender Bürgermeister","RBm","SPD"
1249,"Denkmalgeschütze Villa Calé in Zehlendorf verfällt und Berlin ist machtlos?",False,"2014-07-07","http://pardok.parlament-berlin.de/starweb/adis/citat/VT/17/SchrAnfr/s17-14021.pdf",17,"Regierender Bürgermeister","RBm","FDP/DVP"
1250,"Unterrichtsausfall (vgl. die Kleine Anfrage Nr. 0583/VII in der BVV Pankow)",False,"2014-07-04","http://pardok.parlament-berlin.de/starweb/adis/citat/VT/17/SchrAnfr/s17-14023.pdf",17,"Senatsverwaltung für Bildung, Jugend und Wissenschaft","SenBildJugWiss","SPD"
1252,"Verarbeitung personenbezogener Daten im Bereich Innere Sicherheit",False,"2014-06-23","http://pardok.parlament-berlin.de/starweb/adis/citat/VT/17/SchrAnfr/s17-13972.pdf",17,"Senatsverwaltung für Inneres und Sport","SenInnSport","Piraten"
1253,"Lärmminderungsmaßnahmen für die Berliner Allee, die Buschallee und die Langhansstraße in Pankow",False,"2014-06-26","http://pardok.parlament-berlin.de/starweb/adis/citat/VT/17/SchrAnfr/s17-13986.pdf",17,"Senatsverwaltung für Stadtentwicklung und Umwelt","SenStadtUm","fraktionslos"
1254,"Technische Innovationen in Landesunternehmen",False,"2014-06-25","http://pardok.parlament-berlin.de/starweb/adis/citat/VT/17/SchrAnfr/s17-13965.pdf",17,"Senatsverwaltung für Wirtschaft, Technolgie und Forschung","SenWiTechForsch","CDU"
1257,"Evaluation von Projekten, Maßnahmen und Programmen der beruflichen Bildung",False,"2014-07-08","http://pardok.parlament-berlin.de/starweb/adis/citat/VT/17/SchrAnfr/s17-14056.pdf",17,"Senatsverwaltung für Arbeit, Integration und Frauen","SenArbIntFrau","SPD"
1258,"Eintritt der Bachelorabsolventen ins Berufsleben",False,"2014-06-18","http://pardok.parlament-berlin.de/starweb/adis/citat/VT/17/SchrAnfr/s17-13960.pdf",17,"Senatsverwaltung für Bildung, Jugend und Wissenschaft","SenBildJugWiss","CDU"
1260,"Anstieg der Bezüge der Beschäftigten im öffentlichen Dienst",False,"2014-06-20","http://pardok.parlament-berlin.de/starweb/adis/citat/VT/17/SchrAnfr/s17-13966.pdf",17,"Senatsverwaltung für Finanzen","SenFin","Piraten"
